brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,scraped_at,origin
Linya Linya,"Dri-Fit T-Shirt: In The Long Run, Kinaya Mo",t-shirt,"akbo man, sa karera, o sa buhay. 💪 This dri-fit shirt is: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifittshirtinthelongrunkinayamo,2026-04-24T03:16:47.029458,live
Princess Polly,"Loulah
Sheer
Chiffon
Maxi
Dress
Cream
Polka
Dot",dress,"ip closure, adjustable straps Non-stretch material, unlined 100% polyester Cold gentle machine wash Size & Fit Length of size US 2 / U","{""polyester"": 100.0}",polyester,0.0,low,international,GLOBAL,https://us.princesspolly.com/products/loulah-sheer-chiffon-maxi-dress-cream-polka-dot,2026-04-24T03:16:59.967544,live
Princess Polly,"Lailana
Tie
Back
Strapless
Scarf
Top
Burgundy
/
Blue
Stripe",top,"il Stripe print, exposed back Non-stretch material, unlined 100% polyester Cold gentle machine wash Size & Fit Crystal is wearing a si","{""polyester"": 100.0}",polyester,0.0,low,international,GLOBAL,https://us.princesspolly.com/products/lailana-tie-back-strapless-scarf-top-burgundy-blue-stripe,2026-04-24T03:17:08.594680,live
Princess Polly,"Highlights
Jersey
Polo
Top
Multi
Stripe",polo,"button at front, cap sleeves, cropped Good stretch, unlined 95% polyester 5% elastane Cold gentle machine wash Size & Fit Leiza is we","{""polyester"": 95.0, ""elastane"": 5.0}",polyester,0.0,low,international,GLOBAL,https://us.princesspolly.com/products/highlights-jersey-polo-top-multi-stripe,2026-04-24T03:17:12.468656,live
Princess Polly,"Tag
Longline
Denim
Jorts
Washed
Camo",jeans,"ockets, branded patch at back Non-stretch material, unlined 90% cotton 10% viscose Cold gentle machine wash Size & Fit Length of s","{""cotton"": 90.0, ""viscose"": 10.0}",cotton,100.0,high,international,GLOBAL,https://us.princesspolly.com/products/tag-longline-denim-shorts-washed-camo,2026-04-24T03:17:16.625674,live
Princess Polly,"Natana
Asymmetrical
Midi
Skirt
Multi
Check",skirt,"fastening Non-stretch material, fully lined Main & lining: 100% polyester Cold gentle machine wash Size & Fit Length of size US 4 / U","{""polyester"": 100.0}",polyester,0.0,low,international,GLOBAL,https://us.princesspolly.com/products/natana-asymmetrical-mini-skirt-multi-check,2026-04-24T03:17:23.126235,live
Princess Polly,"Mi
Cherie
Plunge
Ruched
Mini
Dress
Apricot",dress,"textured material Good stretch, fully lined Main & lining: 100% polyester Cold gentle machine wash Size & Fit Length of size US 2 / U","{""polyester"": 100.0}",polyester,0.0,low,international,GLOBAL,https://us.princesspolly.com/products/mi-cherie-plunge-ruched-mini-dress-apricot,2026-04-24T03:17:28.963492,live
Princess Polly,"Isadonna
Capri
Pants
Black
Polka
Dot",pants,"over, elasticated waistband, low-rise Good stretch, unlined 94% polyester 6% elastane Cold gentle machine wash Size & Fit Length of s","{""polyester"": 94.0, ""elastane"": 6.0}",polyester,0.0,low,international,GLOBAL,https://us.princesspolly.com/products/isadonna-capri-pants-black-polka-dot,2026-04-24T03:17:30.134209,live
Princess Polly,"Jennee
Micro
Swim
Shorts
Tiger",swimwear,"Good stretch, fully lined Princess Polly Lower Impact Main: 85% nylon 15% spandex, Lining: 82% nylon 18% spandex Cold gentle mach","{""nylon"": 85.0, ""elastane"": 15.0}",nylon,0.0,low,international,GLOBAL,https://us.princesspolly.com/products/jennee-micro-swim-shorts-tiger,2026-04-24T03:17:31.408051,live
Princess Polly,"Wild
Guess
Strapless
Top
Brown
/
Blue
Stripe",top,"strip, knit fabric, cropped Good stretch, lined bust Main: 80% cotton 20% polyester, Lining: 95% polyester 5% elastane Cold gentl","{""cotton"": 80.0, ""polyester"": 20.0}",cotton,80.0,medium,international,GLOBAL,https://us.princesspolly.com/products/wild-guess-strapless-top-brown-blue-stripe,2026-04-24T03:17:32.785566,live
Coastal Bloom,Copacabana Coast Graphic Italian Top,top,Italy Size : One Size Fit: One Size - up to size 14 Fabric: 100% Cotton Shipping Orders are typically fulfilled and shipped within,"{""cotton"": 100.0}",cotton,100.0,high,international,GLOBAL,https://coastalbloom.com/products/copacabana-coast-graphic-italian-top,2026-04-24T03:20:37.870876,live
Coastal Bloom,Whispering Ruffle Italian Sleeveless Top- Beige,top,"roduct Details: Color: Beige One Size Made In Italy Fabric: 50% Viscose, 50% Linen Shipping Orders are typically fulfilled and ship","{""viscose"": 50.0, ""linen"": 50.0}",viscose,100.0,high,international,GLOBAL,https://coastalbloom.com/products/whispering-ruffle-italian-sleeveless-top,2026-04-24T03:20:38.571586,live
Coastal Bloom,Relaxed Draped Front Denim Pants,pants,"Fit: Small up to 6, Medium 8 to 10, Large 12 to 14 Fabric: 100% Lyocell Shipping Orders are typically fulfilled and shipped within","{""lyocell"": 100.0}",lyocell,100.0,high,international,GLOBAL,https://coastalbloom.com/products/relaxed-draped-front-denim-pants?variant=42316240617547,2026-04-24T03:20:39.513490,live
Coastal Bloom,Strawberry Crush Graphic Italian Top,top,Italy Size : One Size Fit: One Size - up to size 12 Fabric: 100% Cotton Shipping Orders are typically fulfilled and shipped within,"{""cotton"": 100.0}",cotton,100.0,high,international,GLOBAL,https://coastalbloom.com/products/strawberry-crush-graphic-italian-top,2026-04-24T03:20:41.228253,live
